 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25
1,99.44,83.06,95.80,147.35,265.05,397.34,425.87,450.18,466.56,448.36,362.16,397.93,550.95,696.07,890.43,723.39,559.44,674.82,640.19,503.62,252.33,291.11,253.51,208.01,212.89
2,76.40,82.46,78.81,158.26,287.50,402.17,448.93,455.02,440.44,482.96,374.29,388.84,559.46,713.69,883.15,712.47,580.07,715.50,609.85,527.90,229.27,275.34,240.15,207.98,212.26
3,76.99,77.61,85.48,140.08,282.05,440.44,453.18,423.46,439.21,456.24,363.94,368.19,560.67,672.38,896.47,736.75,602.57,685.75,606.79,513.31,254.75,267.45,244.40,198.30,198.33
4,89.12,83.06,98.21,157.06,243.80,401.58,461.68,441.68,428.90,442.88,356.68,381.57,558.23,677.85,860.54,753.75,593.45,717.92,591.01,495.09,242.63,266.26,240.78,186.75,208.03
5,77.00,73.36,82.45,158.27,271.72,416.18,439.25,443.49,492.64,462.92,398.57,410.09,552.76,689.99,838.70,733.72,583.73,694.24,610.44,501.16,262.05,266.84,219.53,206.79,209.24
6,81.25,80.03,85.49,158.89,252.32,424.67,430.74,398.57,453.21,456.22,359.72,396.74,558.83,638.95,845.47,797.48,589.18,690.62,622.59,519.39,242.61,264.44,244.42,201.32,211.66
7,87.91,67.30,87.30,138.26,253.51,387.02,438.61,459.25,458.65,455.03,383.39,416.17,538.19,655.99,831.87,724.61,577.05,704.58,628.06,486.00,229.88,253.49,240.76,192.84,200.76
8,80.64,68.51,101.85,128.56,252.29,393.69,427.10,410.09,470.80,446.52,346.34,400.98,533.32,659.03,862.48,702.14,548.50,716.09,621.85,476.88,229.27,272.32,243.81,186.75,205.59
9,81.25,76.39,78.20,160.70,263.24,416.76,436.18,424.65,458.04,490.25,357.89,391.26,509.03,609.85,787.77,752.54,569.75,676.62,632.92,504.21,252.32,268.68,247.43,185.56,200.74
10,89.73,77.61,76.99,156.44,262.61,448.96,458.68,423.48,439.23,455.63,378.53,395.53,523.03,681.47,825.43,705.78,608.60,697.26,657.78,506.04,246.86,246.82,260.17,189.80,217.75
11,89.72,63.05,77.00,144.93,241.38,409.47,439.23,414.35,462.90,491.45,374.29,397.36,551.60,652.33,810.26,734.93,576.46,643.82,618.97,494.50,223.20,272.93,229.84,184.33,212.28
12,90.94,69.72,84.88,136.43,271.72,414.93,425.87,424.66,454.40,481.71,359.70,391.28,552.76,644.44,815.11,668.12,560.64,700.31,601.95,507.86,252.34,277.16,243.20,182.52,198.32
13,100.04,69.11,89.74,144.92,248.05,410.10,406.44,407.10,466.53,456.23,337.24,373.05,547.91,682.09,799.34,728.85,571.59,710.64,608.02,501.18,246.26,279.61,256.55,206.79,202.57
14,90.34,76.39,98.23,163.73,268.08,408.28,461.08,413.76,457.44,442.88,374.27,393.69,535.75,642.63,831.37,700.31,594.08,686.95,609.84,493.27,229.27,264.41,245.01,190.41,214.10
15,78.81,69.71,93.98,149.77,262.63,435.59,421.62,453.17,436.80,442.27,379.11,378.52,529.08,629.87,846.09,708.80,581.91,733.14,628.65,468.41,232.30,247.44,253.51,200.12,194.06
16,86.09,61.23,93.37,149.18,257.16,402.80,404.64,410.09,434.35,463.52,372.47,400.40,519.98,645.65,799.20,728.86,577.64,693.65,618.94,476.89,255.97,250.47,232.27,184.95,195.29
17,84.89,63.05,94.58,150.39,269.30,403.41,408.29,419.81,459.90,428.31,366.39,382.78,522.39,605.59,835.14,676.62,563.09,705.19,599.50,502.40,235.34,244.41,236.53,180.70,188.00
18,73.36,65.48,92.76,126.11,247.44,409.47,414.96,410.69,448.34,439.24,376.10,393.70,501.14,641.40,807.21,686.95,573.99,713.06,627.44,482.36,249.91,260.78,242.60,203.14,229.28
19,72.15,78.82,81.85,144.93,258.97,424.66,435.59,414.95,451.36,442.88,363.97,370.03,498.12,622.57,823.61,753.16,564.89,700.34,598.93,517.59,220.16,288.70,228.04,208.59,191.65
20,83.68,78.82,83.66,138.25,274.76,428.90,412.53,438.62,431.32,458.07,356.08,366.38,511.47,649.30,851.55,733.68,582.49,722.16,614.70,510.89,228.03,258.36,238.34,194.66,191.66
21,90.95,64.26,93.97,142.50,240.77,397.93,444.68,443.47,422.86,425.27,368.80,376.72,510.88,654.18,797.39,711.87,574.58,679.06,630.49,501.78,256.58,256.53,223.17,201.32,208.65
22,75.79,66.09,103.68,143.10,246.24,397.94,451.97,390.67,427.10,444.70,345.14,367.00,522.39,662.67,816.18,721.57,541.82,682.09,581.89,483.56,226.24,271.12,221.36,192.23,211.66
23,76.39,79.42,86.70,125.52,256.54,408.87,411.91,435.00,416.78,444.11,361.54,377.31,546.69,639.58,773.20,720.35,546.68,698.50,578.85,462.91,209.84,266.26,238.94,211.63,186.79
24,79.42,64.26,85.49,154.02,277.18,423.43,435.59,418.58,441.66,455.63,383.99,379.73,546.68,651.11,792.02,732.48,581.89,697.88,604.36,479.90,229.87,251.69,241.38,214.09,183.74
25,72.15,86.70,85.48,131.58,274.16,414.95,439.27,413.73,450.76,421.03,375.51,380.35,547.90,637.17,785.35,712.46,605.56,683.90,582.53,510.88,234.72,257.16,225.58,211.04,180.73
26,78.81,63.05,92.15,150.38,259.59,398.54,422.85,420.41,414.34,460.48,365.78,390.67,510.89,654.77,826.52,736.74,576.40,714.28,606.19,502.39,231.09,254.73,255.32,212.86,192.26
27,77.60,76.99,92.16,137.66,273.55,391.25,415.56,427.08,435.57,469.58,373.68,380.96,490.83,666.32,791.43,715.51,606.81,687.55,623.81,481.12,246.25,286.89,240.15,192.86,195.89
28,76.39,67.90,93.37,144.33,259.58,424.04,429.53,411.94,436.81,453.80,373.09,376.70,538.81,668.74,779.27,717.31,583.71,691.20,623.79,472.03,245.65,245.61,234.09,194.66,189.23
29,78.82,75.78,93.98,153.42,254.74,397.33,428.30,444.69,437.41,430.73,370.03,408.28,507.83,656.59,806.00,710.65,574.00,680.89,637.16,476.27,246.24,269.89,231.04,211.65,203.78
30,81.24,66.08,87.91,147.34,241.37,420.41,428.94,440.45,455.62,431.35,382.78,383.38,491.44,638.97,797.50,657.80,606.17,682.10,577.64,475.08,235.32,263.83,240.77,193.44,194.08
31,87.91,77.60,81.23,142.50,255.93,428.92,389.45,410.09,438.02,448.35,388.22,350.62,528.48,675.43,804.19,726.42,565.53,672.38,600.12,462.91,239.58,274.15,236.53,221.34,192.25
32,86.10,53.34,83.06,140.68,268.09,422.21,430.73,417.98,419.80,443.49,385.22,422.83,502.35,635.96,806.60,702.74,619.53,660.24,565.53,467.17,241.41,261.40,224.99,187.37,192.85
33,64.87,64.87,85.49,155.85,242.57,422.23,426.49,396.12,442.26,455.62,363.96,382.17,516.34,637.18,787.17,714.26,547.90,684.51,561.88,515.15,252.33,272.91,260.80,201.34,198.93
34,75.17,66.08,109.74,140.08,252.29,388.84,456.83,425.89,435.60,431.94,373.08,377.32,484.78,652.96,770.17,730.06,606.80,700.30,558.23,498.12,236.55,258.36,228.63,200.72,194.66
35,90.34,67.30,93.37,154.62,242.58,409.47,421.02,440.44,462.91,466.55,367.59,373.07,527.84,639.58,773.68,710.64,525.42,693.03,646.27,482.97,235.32,241.97,229.85,215.29,193.46
36,73.97,69.71,95.79,155.84,235.92,388.24,407.06,410.71,435.01,441.67,376.10,386.41,527.26,661.44,810.26,737.35,526.03,679.08,584.32,472.64,234.11,262.61,240.77,177.67,201.35
37,76.99,74.57,85.49,138.26,246.84,417.36,390.07,428.30,455.63,423.46,359.72,402.82,507.24,635.33,833.92,691.18,564.31,671.78,597.69,468.39,237.15,229.84,231.05,185.56,185.56
38,75.18,74.57,92.77,161.92,248.66,393.70,430.74,425.88,433.16,442.27,370.64,372.47,513.92,612.88,781.70,717.95,600.73,691.82,645.67,489.03,213.48,267.47,228.62,207.99,201.94
39,80.63,82.45,71.54,140.68,246.22,404.03,394.91,430.14,443.48,442.28,363.96,374.90,491.45,638.98,803.56,740.39,558.84,688.17,597.70,489.64,233.51,232.88,243.80,210.42,182.53
40,138.26,92.15,84.27,140.07,260.79,388.24,419.78,424.08,444.08,462.30,368.22,387.64,536.38,654.79,770.04,693.03,570.95,663.27,581.28,472.61,265.68,269.88,231.05,199.51,186.80
41,226.23,144.94,115.20,160.09,253.53,359.73,442.26,436.22,470.20,470.81,359.72,378.53,517.54,618.34,777.48,700.92,570.98,689.39,623.19,489.65,223.20,243.80,241.97,208.61,193.46
42,242.01,156.45,120.06,162.53,274.73,393.69,413.76,427.10,456.23,450.78,382.16,406.44,527.86,655.37,762.88,707.61,571.58,685.74,592.85,445.92,231.69,271.09,229.23,213.45,188.61
43,194.69,136.44,118.84,165.56,248.05,423.46,410.10,414.94,450.16,444.09,353.04,383.38,506.01,662.08,771.40,686.95,575.83,680.77,592.23,509.68,235.93,258.97,257.14,216.50,213.49
44,223.81,146.15,138.25,182.54,286.28,420.40,425.27,384.60,412.51,460.47,387.02,405.83,516.31,643.23,788.38,712.47,550.93,694.87,625.01,473.86,225.02,258.96,232.27,197.69,202.56
45,271.76,150.39,126.72,163.12,257.76,405.85,448.34,438.03,425.91,423.46,340.27,375.49,515.72,635.95,817.56,705.18,557.60,655.40,600.12,487.81,259.61,263.21,229.23,187.37,198.32
46,227.44,144.92,139.46,182.55,282.03,416.15,425.85,433.80,457.44,471.42,380.35,382.76,512.07,638.98,768.38,708.83,573.41,701.55,614.08,479.92,229.87,241.97,230.47,187.39,178.89
47,196.50,144.33,145.54,194.06,257.13,418.00,408.28,434.98,413.11,465.31,354.86,382.78,489.63,627.43,833.34,720.36,570.98,703.94,593.43,478.11,224.42,268.68,258.36,191.63,192.25
48,184.35,115.22,121.27,176.48,272.96,437.41,432.55,435.60,436.20,441.06,385.22,417.99,492.06,656.58,787.77,714.87,513.30,652.33,614.68,458.69,237.76,260.80,230.45,202.54,175.26
49,160.09,106.73,106.72,181.93,266.25,416.16,425.26,407.65,441.08,446.53,382.76,376.72,496.30,652.97,797.50,728.83,561.25,699.71,634.72,514.50,235.34,278.39,242.60,203.76,198.33
50,124.30,98.81,121.27,182.53,269.90,422.85,447.72,421.02,424.06,434.37,377.30,394.92,535.14,662.04,755.59,727.63,570.95,691.81,597.68,473.85,246.89,240.15,245.01,201.94,181.94
51,102.47,100.64,110.36,174.65,265.05,430.73,420.42,426.51,438.02,447.73,373.66,372.43,538.80,632.92,778.05,714.90,606.78,662.67,598.93,492.67,251.71,257.15,235.31,210.42,182.54
52,95.80,90.94,104.28,162.50,253.51,410.70,422.22,415.56,439.83,438.63,360.31,374.27,524.82,635.33,771.99,733.73,571.58,690.01,598.90,464.74,236.55,273.52,233.50,207.40,190.44
53,82.45,89.14,96.40,149.76,255.33,412.51,432.55,425.31,450.17,428.90,363.98,386.41,521.80,648.69,741.00,721.57,604.98,676.63,583.73,480.50,246.25,266.26,236.52,207.39,187.41
54,97.01,80.03,109.14,147.34,239.56,399.78,425.87,394.92,411.90,441.05,399.16,357.88,530.30,635.94,752.55,717.91,535.14,673.58,584.92,488.41,243.20,260.80,238.95,187.99,197.72
55,81.24,68.50,103.08,165.56,246.22,395.52,417.38,395.53,439.22,425.26,363.97,399.13,516.94,623.80,755.58,724.59,574.61,676.63,614.09,455.65,247.47,265.64,230.44,219.53,191.63
56,88.51,68.50,98.83,148.57,255.95,408.87,432.57,419.19,431.32,444.70,359.72,381.57,506.61,629.88,742.23,678.44,522.41,656.60,628.66,470.82,238.38,245.63,240.77,198.90,191.65
57,78.21,64.86,81.85,152.81,258.37,417.38,413.12,438.01,439.22,434.36,378.53,392.47,529.68,605.58,734.33,702.76,540.64,727.04,588.58,478.09,232.92,269.87,271.13,209.21,174.05
58,78.22,60.62,86.69,134.60,241.38,409.48,417.96,418.57,441.04,463.50,343.31,353.64,487.78,577.05,755.57,713.67,549.70,700.34,575.84,524.26,237.75,263.23,228.02,194.66,184.97
59,92.15,67.90,87.92,151.00,247.45,414.33,408.28,411.90,441.66,458.05,341.52,360.31,493.27,636.53,782.20,717.30,577.65,696.66,588.58,456.27,221.98,254.12,237.73,198.90,181.34
60,73.96,66.68,86.69,148.56,254.72,407.64,408.88,424.08,438.64,401.58,367.61,403.38,494.48,618.93,741.01,705.78,560.66,659.66,563.68,474.48,237.16,283.22,244.41,180.10,177.07
61,81.23,77.60,86.09,141.90,224.40,406.45,390.68,429.51,470.79,419.21,353.04,382.76,504.81,645.06,760.45,684.52,562.49,680.28,591.61,475.07,265.08,269.30,226.20,204.95,209.85
62,71.54,74.57,98.83,155.24,260.17,387.63,443.48,403.44,443.48,418.58,388.25,394.30,493.89,618.32,767.14,740.38,580.09,681.49,562.49,470.82,229.88,262.62,226.21,191.02,192.25
63,72.74,69.11,85.49,142.52,233.48,396.12,436.79,394.32,416.77,438.02,374.28,380.97,538.77,625.00,773.20,691.19,559.44,725.21,606.21,451.40,231.07,295.39,230.46,197.08,179.50
64,100.64,65.47,95.19,137.64,255.94,435.56,396.74,401.60,472.62,442.88,374.89,392.48,515.74,637.76,759.12,704.58,583.11,685.11,604.36,470.20,242.02,264.43,237.13,218.33,183.75
65,72.75,65.48,84.27,163.74,235.93,399.77,409.48,423.44,430.13,417.39,370.02,379.12,507.23,627.42,750.12,680.89,560.05,672.39,589.81,468.36,241.41,261.40,238.96,212.87,175.86
66,78.82,73.96,109.14,149.77,236.53,404.01,430.13,397.33,467.14,436.22,364.57,402.18,478.09,616.54,774.90,679.66,564.90,676.64,581.28,464.74,223.18,263.22,234.09,201.94,192.24
67,89.74,66.08,79.42,158.27,237.11,430.12,414.97,408.27,445.29,445.31,389.45,379.14,511.48,579.36,781.69,684.54,599.51,675.40,560.05,512.72,235.94,267.45,214.66,196.48,207.43
68,68.51,65.47,103.67,141.89,238.36,420.41,436.22,419.82,452.59,433.77,359.13,361.51,477.48,615.29,734.94,710.01,555.78,679.68,594.03,472.00,238.38,255.34,220.14,195.25,191.04
69,66.08,70.93,84.28,137.03,224.39,373.67,396.76,399.76,457.45,444.70,376.71,378.51,490.83,668.14,754.98,672.98,635.31,645.65,598.90,444.12,235.98,264.43,223.78,198.91,189.82
70,77.61,77.00,66.69,137.65,249.86,387.64,408.28,401.59,450.16,445.31,353.01,353.64,508.43,623.19,753.14,707.59,557.62,677.24,606.78,493.89,245.04,273.53,238.33,193.43,188.60
71,73.97,74.57,84.87,152.21,266.85,404.60,413.72,434.96,425.27,420.42,339.07,365.18,506.52,668.74,763.46,676.63,590.39,665.11,586.17,496.31,242.01,259.56,212.25,189.80,169.79
72,71.53,78.81,72.14,134.61,258.38,402.79,422.23,434.38,439.24,420.43,380.34,381.55,477.49,601.90,759.24,738.56,618.95,703.36,586.75,456.85,254.15,268.68,228.02,189.19,175.87
73,77.60,57.59,93.97,128.55,263.84,397.95,421.61,393.70,457.44,428.92,361.53,378.50,485.36,617.10,777.45,720.96,544.24,670.56,574.02,465.96,230.49,247.45,223.78,222.55,198.32
74,84.88,76.99,84.88,136.44,285.68,382.77,417.37,416.78,459.87,442.88,352.44,385.81,499.95,663.89,763.48,719.14,600.72,674.20,606.81,442.90,238.97,240.77,238.94,186.77,177.70
75,79.42,66.69,86.70,133.40,228.05,380.96,425.85,411.32,431.32,459.27,354.87,370.65,497.52,639.59,762.27,700.91,571.56,642.63,560.04,447.15,240.20,264.44,211.05,201.32,209.24
76,72.76,66.69,89.72,146.76,253.51,388.83,392.49,425.25,434.99,436.20,334.83,395.52,524.84,638.39,733.70,674.78,572.19,647.46,581.30,468.40,234.13,245.62,230.45,203.74,197.71
